,Name,Industry,Point of Contact,Email Address,LinkedIn,Outreach Round ,Owner ,Outreach Medium ,Outreach Date,Outreach,Response,Meeting,Engagement Scoping,Win
11,Arazi.pk,Real Estate,,,,,Natasha,,,,,,,
12,Auction Ghar,Real Estate,,,,,Natasha,,,,,,,
30,COLABS,Real Estate,,,,,Natasha,,,,,,,
75,Gharbaar,Real Estate,,,,,Natasha,,,,,,,
77,Graana.com,Real Estate,,,,,Natasha,,,,,,,
88,ilaan,Real Estate,,,,,Natasha,,,,,,,
92,Jagah online,Real Estate,,,,,Natasha,,,,,,,
154,Propertyfinder.pk,Real Estate,,,,,Natasha,,,,,,,
221,Zameen.com,Real Estate,,,,,Natasha,,,,,,,
